Neighborhood,Latitude,Longitude,City,1th Most Common Venues,2th Most Common Venues,3th Most Common Venues,4th Most Common Venues,5th Most Common Venues,6th Most Common Venues,7th Most Common Venues,8th Most Common Venues,9th Most Common Venues,10th Most Common Venues,Cluster,Cluster-User
Mott Haven,40.80623875,-73.91609987,NYC,Gym,Spanish Restaurant,Donut Shop,Pizza Place,Baseball Field,Storage Facility,Grocery Store,Pharmacy,Mobile Phone Shop,Latin American Restaurant,5,6
Longwood,40.81509905,-73.8957882,NYC,Fast Food Restaurant,Latin American Restaurant,Sandwich Place,Mexican Restaurant,Grocery Store,Donut Shop,Deli / Bodega,Wine Shop,Exhibit,Event Space,5,6
Morrisania,40.82359199,-73.90150649,NYC,Discount Store,Fast Food Restaurant,Donut Shop,Fish Market,Fish & Chips Shop,Sandwich Place,Seafood Restaurant,Liquor Store,Bus Station,Pizza Place,5,6
Soundview,40.8210122,-73.8657461,NYC,Chinese Restaurant,Grocery Store,Fried Chicken Joint,Video Store,Burger Joint,Bus Station,Bus Stop,Basketball Court,Pharmacy,Latin American Restaurant,5,6
Parkchester,40.83793782,-73.85600311,NYC,Supermarket,Pizza Place,Kids Store,Asian Restaurant,Spanish Restaurant,Shipping Store,Sandwich Place,Restaurant,Plaza,Playground,5,6
Westchester Square,40.8406195,-73.84219408,NYC,Fast Food Restaurant,Pizza Place,Baseball Field,Mexican Restaurant,Donut Shop,Sandwich Place,Pharmacy,Pub,Park,Bar,5,6
Van Nest,40.84360847,-73.86629918,NYC,Bus Station,Deli / Bodega,Pizza Place,Middle Eastern Restaurant,BBQ Joint,Playground,Board Shop,Bus Stop,Mobile Phone Shop,Liquor Store,5,6
Morris Park,40.84754906,-73.85040178,NYC,Pizza Place,Deli / Bodega,Bakery,Burger Joint,Arepa Restaurant,Bank,Grocery Store,Pharmacy,Coffee Shop,Sandwich Place,5,6
Belmont,40.8572771,-73.88845196,NYC,Italian Restaurant,Deli / Bodega,Bakery,Pizza Place,Dessert Shop,Bank,Liquor Store,Spanish Restaurant,Food & Drink Shop,Sandwich Place,5,6
Pelham Bay,40.85064141,-73.83207378,NYC,Bank,Convenience Store,Gym / Fitness Center,Donut Shop,Pharmacy,Diner,Italian Restaurant,Deli / Bodega,Lawyer,BBQ Joint,5,6
Annadale,40.53811417,-74.17854866,NYC,Pizza Place,Pharmacy,Restaurant,Diner,American Restaurant,Liquor Store,Dance Studio,Sushi Restaurant,Ethiopian Restaurant,Event Service,5,6
Georgetown,40.62384524,-73.91607484,NYC,Bank,Pharmacy,Breakfast Spot,Cosmetics Shop,Shopping Mall,Mexican Restaurant,Miscellaneous Shop,Mobile Phone Shop,Supplement Shop,Frozen Yogurt Shop,5,6
Fort Hamilton,40.61476813,-74.03197915,NYC,Deli / Bodega,Italian Restaurant,Juice Bar,Bagel Shop,Japanese Restaurant,Gym / Fitness Center,Pharmacy,Pizza Place,Chinese Restaurant,Bus Stop,5,6
Rosedale,40.65981643,-73.73526079,NYC,Park,Playground,Bus Station,Chinese Restaurant,Baseball Field,Smoke Shop,Trail,Caribbean Restaurant,Pharmacy,Sandwich Place,5,6
Rosedale,43.6795626,-79.3775294,Toronto,Park,Playground,Bus Station,Chinese Restaurant,Baseball Field,Smoke Shop,Trail,Caribbean Restaurant,Pharmacy,Sandwich Place,5,6
Far Rockaway,40.60313443,-73.75497968,NYC,Pizza Place,Chinese Restaurant,Deli / Bodega,Pharmacy,Grocery Store,Fast Food Restaurant,Bus Station,Other Great Outdoors,Park,Clothing Store,5,6
Broad Channel,40.60302658,-73.82005489,NYC,Dive Bar,Deli / Bodega,Pizza Place,Other Nightlife,Sporting Goods Shop,Yoga Studio,Escape Room,Ethiopian Restaurant,Event Service,Event Space,5,6
Beechhurst,40.7927814,-73.80436452,NYC,Chinese Restaurant,Italian Restaurant,Shopping Mall,Pet Store,Spa,Park,Pizza Place,Optical Shop,Dessert Shop,Restaurant,5,6
Bay Terrace,40.78284281,-73.77680223,NYC,Donut Shop,Clothing Store,Supermarket,American Restaurant,Kids Store,Mobile Phone Shop,Cosmetics Shop,Gluten-free Restaurant,Salon / Barbershop,Gym,5,6
Bay Terrace,40.55398801,-74.13916622,NYC,Donut Shop,Clothing Store,Supermarket,American Restaurant,Kids Store,Mobile Phone Shop,Cosmetics Shop,Gluten-free Restaurant,Salon / Barbershop,Gym,5,6
Edgemere,40.59564181,-73.77613282,NYC,Metro Station,Farm,Gift Shop,Asian Restaurant,Skate Park,Cosmetics Shop,Park,Ice Cream Shop,Deli / Bodega,Seafood Restaurant,5,6
Holliswood,40.72095721,-73.76714167,NYC,Donut Shop,Grocery Store,Playground,Mobile Phone Shop,Sandwich Place,Yoga Studio,Empanada Restaurant,Escape Room,Ethiopian Restaurant,Event Service,5,6
Queensboro Hill,40.74457231,-73.82580915,NYC,Chinese Restaurant,Bank,Bakery,Bus Station,Bar,Park,Dumpling Restaurant,Asian Restaurant,Taiwanese Restaurant,Hobby Shop,5,6
Hillcrest,40.7238249,-73.79760301,NYC,College Academic Building,Market,College Basketball Court,College Stadium,Coffee Shop,Mobile Phone Shop,Donut Shop,Shipping Store,Pizza Place,Convenience Store,5,6
Ravenswood,40.76170453,-73.93157506,NYC,Chinese Restaurant,Fried Chicken Joint,Bagel Shop,Italian Restaurant,Bank,Grocery Store,Greek Restaurant,Mobile Phone Shop,Taco Place,Brazilian Restaurant,5,6
Lindenwood,40.66391842,-73.84963782,NYC,Fruit & Vegetable Store,Moving Target,Gym,Pharmacy,Donut Shop,Sandwich Place,Pizza Place,Bank,Hotel,Bakery,5,6
Laurelton,40.6678839,-73.74025608,NYC,Caribbean Restaurant,Cosmetics Shop,Train Station,Deli / Bodega,Park,Sculpture Garden,Yoga Studio,Farm,English Restaurant,Escape Room,5,6
Belle Harbor,40.57615557,-73.8540175,NYC,Beach,Italian Restaurant,Pub,Deli / Bodega,Boutique,Restaurant,Bagel Shop,Chinese Restaurant,Mexican Restaurant,Donut Shop,5,6
Rockaway Park,40.58034296,-73.8415337,NYC,Beach,Steakhouse,Diner,Bank,Bagel Shop,Mediterranean Restaurant,Smoke Shop,Seafood Restaurant,Pharmacy,Donut Shop,5,6
Brookville,40.66000323,-73.75175311,NYC,Recording Studio,Deli / Bodega,Home Service,Field,English Restaurant,Escape Room,Ethiopian Restaurant,Event Service,Event Space,Exhibit,5,6
Bellaire,40.73301404,-73.73889199,NYC,Deli / Bodega,Chinese Restaurant,Italian Restaurant,Halal Restaurant,Coffee Shop,Bus Station,Breakfast Spot,Moving Target,Greek Restaurant,Gym,5,6
North Corona,40.754071,-73.85751791,NYC,Deli / Bodega,Spanish Restaurant,Bakery,South American Restaurant,Food Truck,Caribbean Restaurant,Mexican Restaurant,Train,Coffee Shop,Mobile Phone Shop,5,6
Forest Hills Gardens,40.71461108,-73.84102211,NYC,Grocery Store,Bakery,Pharmacy,Ramen Restaurant,Plaza,Noodle House,Sushi Restaurant,Business Service,Bagel Shop,New American Restaurant,5,6
Stapleton,40.62692763,-74.07790193,NYC,Pizza Place,Discount Store,Bank,Restaurant,Sandwich Place,Donut Shop,Train Station,Mexican Restaurant,Pharmacy,Asian Restaurant,5,6
Rosebank,40.61530495,-74.06980527,NYC,Italian Restaurant,Pizza Place,Breakfast Spot,Storage Facility,Cajun / Creole Restaurant,Sandwich Place,Restaurant,Discount Store,Donut Shop,Bar,5,6
Mariner's Harbor,40.63254639,-74.15008537,NYC,Deli / Bodega,Italian Restaurant,Supermarket,Cupcake Shop,Filipino Restaurant,Escape Room,Ethiopian Restaurant,Event Service,Event Space,Exhibit,5,6
Castleton Corners,40.61333594,-74.11918059,NYC,Pizza Place,Tattoo Parlor,Ice Cream Shop,Bank,Bar,Grocery Store,Mexican Restaurant,Sandwich Place,Bagel Shop,Burger Joint,5,6
New Springville,40.59425238,-74.16496031,NYC,Pizza Place,Chinese Restaurant,Bagel Shop,Optical Shop,Spa,Soup Place,Mobile Phone Shop,Mexican Restaurant,Grocery Store,Martial Arts School,5,6
New Dorp,40.57257232,-74.11647944,NYC,Italian Restaurant,Pizza Place,Deli / Bodega,Hobby Shop,Sushi Restaurant,Sandwich Place,Salon / Barbershop,Pool Hall,Mexican Restaurant,Indian Restaurant,5,6
Great Kills,40.54948023,-74.14932381,NYC,Pizza Place,Bar,Italian Restaurant,Train Station,Japanese Restaurant,Liquor Store,Grocery Store,Mexican Restaurant,Food & Drink Shop,Pharmacy,5,6
Springfield Gardens,40.66623049,-73.76042093,NYC,Donut Shop,Liquor Store,Intersection,Fried Chicken Joint,Check Cashing Service,Shoe Store,Laundromat,Chinese Restaurant,Park,Sandwich Place,5,6
Ocean Parkway,40.61305977,-73.96836678,NYC,Restaurant,Steakhouse,Playground,Paper / Office Supplies Store,Bagel Shop,Men's Store,Gift Shop,Liquor Store,General Entertainment,Sake Bar,5,6
Rochdale,40.6752114,-73.77258788,NYC,Southern / Soul Food Restaurant,Breakfast Spot,Laundromat,Bus Stop,Fast Food Restaurant,Candy Store,Chinese Restaurant,Bank,Market,Liquor Store,5,6
South Jamaica,40.69691125,-73.79042613,NYC,Bus Station,Shop & Service,Sporting Goods Shop,Supermarket,Bakery,Chinese Restaurant,Sandwich Place,Bus Line,Caribbean Restaurant,Factory,5,6
East Harlem,40.79224947,-73.94418223,NYC,Bakery,Pizza Place,Mexican Restaurant,Bank,Sandwich Place,Steakhouse,Restaurant,French Restaurant,Dance Studio,Thai Restaurant,5,6
Woodside,40.74634909,-73.90184167,NYC,Grocery Store,Filipino Restaurant,Thai Restaurant,Latin American Restaurant,Deli / Bodega,Donut Shop,Bakery,Pub,American Restaurant,Supermarket,5,6
Howard Beach,40.65422528,-73.83813765,NYC,Pharmacy,Italian Restaurant,Deli / Bodega,Fast Food Restaurant,Chinese Restaurant,Sandwich Place,Bagel Shop,Clothing Store,Gym,Convenience Store,5,6
Corona,40.74238175,-73.85682497,NYC,Mexican Restaurant,Chinese Restaurant,Sandwich Place,Deli / Bodega,Italian Restaurant,Latin American Restaurant,Empanada Restaurant,South American Restaurant,Donut Shop,Liquor Store,5,6
Kew Gardens,40.70517904,-73.82981906,NYC,Chinese Restaurant,Cosmetics Shop,Indian Restaurant,Bank,Bar,Donut Shop,Pizza Place,Pub,Bakery,Supermarket,5,6
Richmond Hill,40.69794731,-73.83183321,NYC,Caribbean Restaurant,Lounge,Bank,Pizza Place,Latin American Restaurant,Diner,Donut Shop,Taco Place,Café,Business Service,5,6
Sunnyside,40.74017628,-73.92691618,NYC,Pizza Place,Italian Restaurant,South American Restaurant,Chinese Restaurant,Grocery Store,Bar,Coffee Shop,Bakery,Deli / Bodega,Latin American Restaurant,5,6
Sunnyside,40.61276016,-74.09712552,NYC,Pizza Place,Italian Restaurant,South American Restaurant,Chinese Restaurant,Grocery Store,Bar,Coffee Shop,Bakery,Deli / Bodega,Latin American Restaurant,5,6
East Elmhurst,40.76407324,-73.86704148,NYC,Donut Shop,Supermarket,Hotel Bar,Gym,Coffee Shop,Bus Station,Lake,Gas Station,Chinese Restaurant,Ice Cream Shop,5,6
Maspeth,40.72542737,-73.89621714,NYC,Bank,Diner,Pizza Place,Grocery Store,Chinese Restaurant,Japanese Restaurant,Deli / Bodega,Pharmacy,Mobile Phone Shop,Pub,5,6
Ridgewood,40.70832316,-73.90143518,NYC,Mobile Phone Shop,Bank,Sushi Restaurant,Grocery Store,Deli / Bodega,Pizza Place,Diner,Bar,Supplement Shop,Bus Station,5,6
Glendale,40.70276243,-73.87074167,NYC,Brewery,Deli / Bodega,Food & Drink Shop,Liquor Store,Pizza Place,Yoga Studio,Fast Food Restaurant,Escape Room,Ethiopian Restaurant,Event Service,5,6
Rego Park,40.72897409,-73.85782687,NYC,Chinese Restaurant,Sandwich Place,Bakery,Pizza Place,Bank,Sushi Restaurant,Mobile Phone Shop,Supplement Shop,Shanghai Restaurant,Restaurant,5,6
Woodhaven,40.68988688,-73.85811047,NYC,Park,Bank,Deli / Bodega,Pharmacy,Bagel Shop,Hookah Bar,Bar,Mexican Restaurant,Donut Shop,Sandwich Place,5,6
Ozone Park,40.68070847,-73.84320266,NYC,Pharmacy,Mobile Phone Shop,Pizza Place,Bank,Gym,Martial Arts School,Diner,Donut Shop,Sandwich Place,Gas Station,5,6
South Ozone Park,40.66854958,-73.80986479,NYC,Park,Bar,Deli / Bodega,Food Truck,Fast Food Restaurant,Food,Hotel,Sandwich Place,Donut Shop,Grocery Store,5,6
College Point,40.78490275,-73.84304529,NYC,Pizza Place,Bakery,Deli / Bodega,Chinese Restaurant,Bar,Supermarket,Donut Shop,Sandwich Place,Seafood Restaurant,Café,5,6
Whitestone,40.78129077,-73.81420217,NYC,Dance Studio,Deli / Bodega,Bubble Tea Shop,Candy Store,Yoga Studio,Fish & Chips Shop,Event Service,Event Space,Exhibit,Factory,5,6
Auburndale,40.76172955,-73.79176244,NYC,Italian Restaurant,Discount Store,Gymnastics Gym,Pet Store,Pharmacy,Train,Train Station,Athletics & Sports,Miscellaneous Shop,Mobile Phone Shop,5,6
Little Neck,40.77082619,-73.73889776,NYC,Spa,Chinese Restaurant,Pizza Place,Japanese Restaurant,Shanghai Restaurant,Bank,Coffee Shop,Korean Restaurant,Italian Restaurant,Deli / Bodega,5,6
Douglaston,40.7668461,-73.74249821,NYC,Bank,Deli / Bodega,Italian Restaurant,Diner,Chinese Restaurant,Shipping Store,Liquor Store,Donut Shop,Pet Store,Pharmacy,5,6
Glen Oaks,40.7494408,-73.71548119,NYC,Pharmacy,Mobile Phone Shop,Fast Food Restaurant,Mattress Store,Bagel Shop,Pet Store,Gift Shop,Donut Shop,Middle Eastern Restaurant,Sandwich Place,5,6
Bellerose,40.72857318,-73.72012815,NYC,Pizza Place,Italian Restaurant,Bus Station,Gym,Chinese Restaurant,Seafood Restaurant,Donut Shop,Mobile Phone Shop,Playground,Gas Station,5,6
Kew Gardens Hills,40.72257824,-73.82087765,NYC,Bank,Middle Eastern Restaurant,Pizza Place,Playground,Chinese Restaurant,Bus Station,Bagel Shop,Moving Target,Burger Joint,Smoke Shop,5,6
Fresh Meadows,40.73439447,-73.78271337,NYC,Bus Station,Chinese Restaurant,Pharmacy,Grocery Store,Construction & Landscaping,Vegetarian / Vegan Restaurant,Pizza Place,Playground,Cosmetics Shop,Food Truck,5,6
Oakland Gardens,40.74561857,-73.75494976,NYC,Korean Restaurant,Pharmacy,Supermarket,Taiwanese Restaurant,Sandwich Place,Donut Shop,Sushi Restaurant,Pizza Place,Supplement Shop,Dessert Shop,5,6
Queens Village,40.71889309,-73.73871485,NYC,Bank,Bus Stop,Discount Store,Latin American Restaurant,Spa,Martial Arts School,Bakery,Mexican Restaurant,Donut Shop,Sandwich Place,5,6
St. Albans,40.69444539,-73.75867604,NYC,Caribbean Restaurant,Vegetarian / Vegan Restaurant,Donut Shop,Spa,Fast Food Restaurant,Motorcycle Shop,Discount Store,Health Food Store,Mobile Phone Shop,Café,5,6
Cambria Heights,40.69277464,-73.73526874,NYC,Caribbean Restaurant,Chinese Restaurant,Flower Shop,Mexican Restaurant,Other Repair Shop,Moving Target,Restaurant,Pharmacy,Gym / Fitness Center,Bakery,5,6
